
ba,ba
bae,brae
baeh,braeh
baejh,braeih
baek,braek
baem,braem
baemh,braemh
baeng,braeng
baengh,braengh
baengq,braengq
baenq,braenq
baeq,braeq
baew,braew
baewh,braewh
baewq,braewq
bajh,baih
bak,bak
ban,ban
bang,bang
bangh,bangh
banh,banh
banq,banq
baq,baq
bat,bat
baw,baw
bawh,bawh
bawq,bawq
bee,bre
beeh,breh
beej,brei
beejh,breih
beek,brek
been,bren
beeng,breng
beengh,brengh
beengq,brengq
beenh,brenh
beeq,breq
beet,bret
bej,bei
bejh,beih
bejq,beiq
bek,bek
ben,ben
beng,beng
bengq,bengq
benq,benq
beok,bok
beong,bong
beongh,bongh
bet,bet
bi,bi
biaek,biaek
biaengh,biaengh
biangq,buangq
bie,bie
bieh,bieh
biejh,bieih
bien,bien
bienh,bienh
bienq,bienq
bieq,bieq
biew,biew
biewh,biewh
biewq,biewq
bih,bih
bin,bin
binq,binq
biq,biq
bit,bit
bo,bo
boeuk,brok
boeung,brong
boeungq,brongq
boh,boh
boj,boi
bojh,boih
bojq,boiq
bok,bowk
bon,bon
bonh,bonh
bonq,bonq
boq,boq
bot,bot
bou,bou
bouh,bouh
bouk,bouk
boung,boung
boungq,boungq
bouq,bouq
bu,bu
buah,buah
buak,buak
buang,buang
buangh,buangh
buh,buh
buj,bui
bujh,buih
bujq,buiq
buk,buk
bun,bun
bung,bung
bungh,bungh
bunh,bunh
bunq,bunq
buo,buo
buoh,buoh
buojh,buoih
buok,buok
buom,buom
buomh,buomh
buomq,buomq
buon,buon
buong,buong
buongh,buongh
buongq,buongq
buonh,buonh
buonq,buonq
buop,buop
buoq,buoq
buot,buot
buq,buq
but,but
byaek,briaek
byaeng,briaeng
byaengh,briaengh
bye,bve
byeh,bveh
byenh,brienh
byenq,brienq
byeq,bveq
byet,briet
byewq,bvewq
byi,bri
byih,brih
byik,brik
byin,brin
bying,bring
byingh,bringh
byip,bvp
byiq,briq
byit,brit
byiw,briw
da,da
dah,dah
dajh,daih
dak,dak
dam,dam
damh,damh
damq,damq
dan,dan
dang,dang
dangh,dangh
dangq,dangq
danh,danh
danq,danq
dap,dap
daq,daq
dat,dat
daw,daw
dawh,dawh
dawq,dawq
deeq,dreq
dej,dei
dejh,deih
dejq,deiq
dek,dek
dem,dem
demh,demh
demq,demq
den,den
deng,deng
dengh,dengh
dengq,dengq
denh,denh
denq,denq
deoj,doi
deojh,doih
deojq,doiq
deok,dok
deong,dong
deongh,dongh
dep,dep
det,det
dew,dew
dewh,dewh
dewq,dewq
dih,dih
djiae,djae
djiaek,djaek
djiaeng,djaeng
djiaengh,djaengh
djiaeq,djaeq
djie,dje
djieh,djeh
djiej,djei
djiejh,djeih
djiem,djem
djiemh,djemh
